Predictor,Predictor Category,Knowledge Gap Category,Adjusted Standardized Residual,Direction
Question Type,Commercial / Pricing,Public Documentation | Commercial Model | Pricing Template | SME,27.059,Over-represented
Presales Category,Security & Compliance,Public Documentation | Governance Framework | Risk Register | SME,17.647,Over-represented
Question Type,Governance / Security,Public Documentation | Governance Framework | Risk Register | SME,15.227,Over-represented
Question Type,Architecture,Public Documentation | Architecture Blueprint | Methodology | SME,15.163,Over-represented
Presales Category,Solution Architecture,Public Documentation | Governance Framework | Risk Register | SME,-14.292,Under-represented
Question Type,Commercial / Pricing,Public Documentation | Architecture Blueprint | Methodology | SME,-13.465,Under-represented
Question Intent,Estimate commercial impact,Public Documentation | Commercial Model | Pricing Template | SME,13.078,Over-represented
Presales Category,Security & Compliance,Public Documentation | Architecture Blueprint | Methodology | SME,-12.944,Under-represented
Presales Category,Cost Optimization,Public Documentation | Commercial Model | Pricing Template | SME,12.354,Over-represented
Presales Category,Solution Architecture,Public Documentation | Architecture Blueprint | Methodology | SME,12.14,Over-represented
Question Type,Architecture,Public Documentation | Governance Framework | Risk Register | SME,-11.444,Under-represented
Presales Category,Data Platform,Public Documentation | Governance Framework | Risk Register | SME,11.431,Over-represented
Question Intent,Understand capability / terminology,Public Documentation,10.066,Over-represented
Question Type,Architecture,Public Documentation | Commercial Model | Pricing Template | SME,-9.64,Under-represented
Question Type,Implementation,Public Documentation | Governance Framework | Risk Register | SME,8.638,Over-represented
Business Capability,Hybrid connectivity and network foundation,Public Documentation | Governance Framework | Risk Register | SME,-8.094,Under-represented
Business Capability,Hybrid connectivity and network foundation,Public Documentation | Architecture Blueprint | Methodology | SME,7.707,Over-represented
Question Type,Commercial / Pricing,Public Documentation | Governance Framework | Risk Register | SME,-7.598,Under-represented
Business Capability,Financial governance / FinOps,Public Documentation | Commercial Model | Pricing Template | SME,7.281,Over-represented
Question Type,Governance / Security,Public Documentation | Architecture Blueprint | Methodology | SME,-7.241,Under-represented
Presales Category,Migration Assessment,Public Documentation | Architecture Blueprint | Methodology | SME,7.058,Over-represented
Question Complexity,High,Public Documentation | Governance Framework | Risk Register | SME,7.017,Over-represented
Question Complexity,Medium,Public Documentation | Governance Framework | Risk Register | SME,-6.026,Under-represented
Presales Category,Cost Optimization,Public Documentation | Architecture Blueprint | Methodology | SME,-6.009,Under-represented
Presales Category,Data Platform,Public Documentation | Architecture Blueprint | Methodology | SME,-6.003,Under-represented
Presales Category,Migration Assessment,Public Documentation | Governance Framework | Risk Register | SME,-5.701,Under-represented
Question Intent,Estimate commercial impact,Public Documentation | Architecture Blueprint | Methodology | SME,-5.614,Under-represented
Question Type,Best Practice,Public Documentation | Commercial Model | Pricing Template | SME,-5.455,Under-represented
Question Type,Informational,Public Documentation | Governance Framework | Risk Register | SME,5.452,Over-represented
Question Type,Governance / Security,Public Documentation | Commercial Model | Pricing Template | SME,-5.402,Under-represented
