Question_ID,Vendor,Source Website,Question URL,Source URL,Question,Official Answer,Official Answer Summary,Official Documentation URL(s),Knowledge Asset Category,Technology Domain,Cloud Platform,Presales Category,Business Capability,Question Intent,Question Type,Question Complexity,Question Length,Number of Technologies Mentioned,Document Type,Publication Date,Tags,Accepted Answer Available?,Accepted Answer URL,Answer Confidence,Estimated RFP Relevance (1-5),Public Knowledge Only?,Enterprise Knowledge Required,Notes,Repository_Label,Knowledge_Gap_Category
EPK-0001,AWS,aws.amazon.com,https://aws.amazon.com/directconnect/faqs/,https://aws.amazon.com/directconnect/faqs/,"If I associate virtual private gateways (VGWs) to an AWS Direct Connect gateway, can I continue to use all VPC features?","Networking features, such as Elastic File System, Elastic Load Balancing, Application Load Balancer, Security Groups, Access Control List, and AWS PrivateLink, work with AWS Direct Connect gateway. AWS Direct Connect gateway does not support AWS VPN CloudHub functionality. However, if you are using an AWS Site-to-Site VPN connection to a virtual gateway (VGW) that is associated with your AWS Direct Connect gateway, you can use your VPN connection for failover. Features that are not currently supported by AWS Direct Connect are; AWS Classic VPN, AWS VPN (such as edge-to-edge routing), VPC peering, VPC endpoints.","Networking features, such as Elastic File System, Elastic Load Balancing, Application Load Balancer, Security Groups, Access Control List, and AWS PrivateLink, work with AWS Direct Connect gateway. AWS Direct Connect gateway does not support AWS VPN CloudHub functionality.",https://aws.amazon.com/directconnect/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Request presales guidance,Architecture,High,21,4,FAQ,,"architecture, security, governance, networking, ai",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0002,AWS,aws.amazon.com,https://aws.amazon.com/datasync/faqs/,https://aws.amazon.com/datasync/faqs/,Does AWS DataSync support VPC endpoints using AWS PrivateLink?,"Yes, VPC endpoints are supported for data movement use cases. You can use VPC endpoints to ensure data transferred between your AWS DataSync agent, either deployed on-premises or in-cloud, doesn't traverse the public internet or need public IP addresses. Using VPC endpoints increases the security of your data by keeping network traffic within your Amazon Virtual Private Cloud (Amazon VPC) . VPC endpoints for DataSync are powered by AWS PrivateLink , a highly available, scalable technology that enables you to privately connect your VPC to supported AWS services.","Yes, VPC endpoints are supported for data movement use cases. You can use VPC endpoints to ensure data transferred between your AWS DataSync agent, either deployed on-premises or in-cloud, doesn't traverse the public internet or need public IP addresses.",https://aws.amazon.com/datasync/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Security / Governance,AWS,Migration Assessment,"Risk, compliance and identity control",Request presales guidance,Architecture,High,9,5,FAQ,,"migration, security, governance, ai, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0003,AWS,aws.amazon.com,https://aws.amazon.com/disaster-recovery/faqs/,https://aws.amazon.com/disaster-recovery/faqs/,How is my data encrypted while in transit from my source server to AWS using AWS DRS?,"Your replicated data is encrypted in transit using TLS 1.2, and is transferred directly from your source servers to your VPC. You can leverage private connectivity such as AWS Direct Connect or VPN to configure the replication route. Your data can also be encrypted at rest on AWS using Amazon EBS encryption. Learn more about infrastructure security with AWS DRS .","Your replicated data is encrypted in transit using TLS 1.2, and is transferred directly from your source servers to your VPC. You can leverage private connectivity such as AWS Direct Connect or VPN to configure the replication route. Your data can also be encrypted at rest on AWS using Amazon EBS encryption.",https://aws.amazon.com/disaster-recovery/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Request presales guidance,Architecture,High,17,3,FAQ,,"architecture, security, governance, ai, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0004,AWS,aws.amazon.com,https://aws.amazon.com/efs/faq/,https://aws.amazon.com/efs/faq/,How do I control which Amazon EC2 instances can access my file system?,"You control which EC2 instances can access your file system using VPC security group rules and IAM policies. Use VPC security groups to control the network traffic to and from your file system. Attach an IAM policy to your file system to control which clients can mount your file system and with what permissions, and use EFS Access Points to manage application access. Control access to files and directories with POSIX-compliant user and group-level permissions .",You control which EC2 instances can access your file system using VPC security group rules and IAM policies. Use VPC security groups to control the network traffic to and from your file system.,https://aws.amazon.com/efs/faq/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Determine implementation approach,Architecture,High,13,4,FAQ,,"architecture, security, governance",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0005,AWS,aws.amazon.com,https://aws.amazon.com/transit-gateway/faqs/,https://aws.amazon.com/transit-gateway/faqs/,Can I use the Route Analyzer to analyze security group rules and network ACL rules in VPC?,"No, Route Analyzer only verifies Transit Gateway route tables. Security Group rules and Network ACL rules are not a part of the analysis.","No, Route Analyzer only verifies Transit Gateway route tables. Security Group rules and Network ACL rules are not a part of the analysis.",https://aws.amazon.com/transit-gateway/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Request presales guidance,Architecture,High,17,2,FAQ,,"architecture, security, governance",,,High,5,Yes,Public Documentation,"The question asks for a documented fact, service capability, availability, or definition that can be answered using official public documentation.",0,Public Documentation
EPK-0006,AWS,aws.amazon.com,https://aws.amazon.com/shield/faqs/,https://aws.amazon.com/shield/faqs/,Which AWS network security services does AWS Shield network security director support?,"Currently in preview, AWS Shield supports analysis of AWS WAF, VPC security groups, and VPC network access control lists (network ACLs).","Currently in preview, AWS Shield supports analysis of AWS WAF, VPC security groups, and VPC network access control lists (network ACLs).",https://aws.amazon.com/shield/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Evaluate options / fit,Architecture,High,12,4,FAQ,,"architecture, security, governance",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0007,AWS,aws.amazon.com,https://aws.amazon.com/privatelink/faqs/,https://aws.amazon.com/privatelink/faqs/,How secure is an AWS PrivateLink connection?,"The security of AWS PrivateLink relies on three factors: the path, the policies, and mode of communication. The path between a VPC endpoint and a service stays within AWS and does not traverse the Internet. It therefore remains out of reach of Internet breaches. When you are using VPC endpoints with AWS services, you can also create endpoint policies, which restrict access to requests that come to the VPC endpoint. PrivateLink does not provide any encryption by default for data in transit . The service consumer always initiates the service (it is a one-way service), and that the service provider only provides service to allowlisted customers.","The security of AWS PrivateLink relies on three factors: the path, the policies, and mode of communication. The path between a VPC endpoint and a service stays within AWS and does not traverse the Internet. It therefore remains out of reach of Internet breaches.",https://aws.amazon.com/privatelink/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Request presales guidance,Architecture,High,7,3,FAQ,,"architecture, security, governance, ai, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0008,AWS,aws.amazon.com,https://aws.amazon.com/blogs/mt/announcing-aws-well-architected-migration-lens/,https://aws.amazon.com/blogs/mt/announcing-aws-well-architected-migration-lens/,Who should use the Migration Lens?,"All AWS customers designing or implementing a migration to AWS Cloud and searching for guidance regarding best practices and things to consider as part of the move can leverage the Migration Lens. This includes start-ups, digital native businesses, software vendors, enterprises, or public sector companies. When evaluating your migration, we recommend the following stakeholders to review the lens: Business and technology leaders Migration project team Security and compliance team members Operations teams Enterprise and Solutions Architects","All AWS customers designing or implementing a migration to AWS Cloud and searching for guidance regarding best practices and things to consider as part of the move can leverage the Migration Lens. This includes start-ups, digital native businesses, software vendors, enterprises, or public sector companies.",https://aws.amazon.com/blogs/mt/announcing-aws-well-architected-migration-lens/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace/?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Well Architected,Security / Governance,AWS,Migration Assessment,"Risk, compliance and identity control",Evaluate options / fit,Best Practice,High,6,1,Official Blog / Guide,,"migration, security, governance, compliance",,,Medium,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0009,AWS,aws.amazon.com,https://aws.amazon.com/datasync/faqs/,https://aws.amazon.com/datasync/faqs/,Can I use AWS DataSync with AWS Direct Connect?,"You can use AWS DataSync with your Direct Connect link to access public service endpoints or private VPC endpoints . When using VPC endpoints, data transferred between the DataSync agent and AWS services does not traverse the public internet or need public IP addresses, increasing the security of data as it is copied over the network.",You can use AWS DataSync with your Direct Connect link to access public service endpoints or private VPC endpoints .,https://aws.amazon.com/datasync/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Security / Governance,AWS,Migration Assessment,"Risk, compliance and identity control",Request presales guidance,Architecture,High,9,4,FAQ,,"migration, security, governance, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0010,AWS,aws.amazon.com,https://aws.amazon.com/datasync/faqs/,https://aws.amazon.com/datasync/faqs/,How does AWS DataSync access my Amazon FSx for Lustre file system?,"When you create a DataSync task to copy to or from your FSx for Lustre file system, the DataSync service will create Elastic Network Interfaces (ENIs) in the same VPC and subnet where your file system is located. DataSync uses these ENIs to access your FSx for Lustre file system using the Lustre protocol as the root user. When you create a DataSync location resource for your FSx for Lustre file system, you can specify up to five security groups to apply to the ENIs and configure outbound access from the DataSync service. The security groups must be configured to allow outbound traffic on the network ports required by FSx for Lustre . The security groups on your FSx for Lustre file system should be configured to allow inbound access from the security groups you assigned to the DataSync location resource for your FSx for Lustre file system.","When you create a DataSync task to copy to or from your FSx for Lustre file system, the DataSync service will create Elastic Network Interfaces (ENIs) in the same VPC and subnet where your file system is located.",https://aws.amazon.com/datasync/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Security / Governance,AWS,Migration Assessment,"Risk, compliance and identity control",Determine implementation approach,Best Practice,High,12,3,FAQ,,"migration, security, governance, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
