Question_ID,Vendor,Source Website,Question URL,Source URL,Question,Official Answer,Official Answer Summary,Official Documentation URL(s),Knowledge Asset Category,Technology Domain,Cloud Platform,Presales Category,Business Capability,Question Intent,Question Type,Question Complexity,Question Length,Number of Technologies Mentioned,Document Type,Publication Date,Tags,Accepted Answer Available?,Accepted Answer URL,Answer Confidence,Estimated RFP Relevance (1-5),Public Knowledge Only?,Enterprise Knowledge Required,Notes,Repository_Label,Predicted Repository
EPK-0126,AWS,aws.amazon.com,https://aws.amazon.com/cloudwatch/faqs/,https://aws.amazon.com/cloudwatch/faqs/,What is CloudWatch Container Insights?,"CloudWatch Container Insights collects, aggregates, and summarizes metrics and logs from your containerized applications and microservices running on Amazon ECS, Amazon EKS, Kubernetes platforms on Amazon EC2, and AWS Fargate (for both Amazon ECS and Amazon EKS). Container Insights collects container metrics such as CPU, memory, disk, and network metrics out of the box and provides deeper diagnostic information, such as container restart failures, to help you isolate issues and resolve them quickly. Container Insights delivers your container observability in automatic dashboards enabling you to monitor your application health and performance easily. Container Insights also supports collecting EKS metrics via OTLP, with PromQL query support and up to 150 labels per metric. You can also set CloudWatch alarms on Container Insights metrics to be notified of anomalies before your application performance is impacted.","CloudWatch Container Insights collects, aggregates, and summarizes metrics and logs from your containerized applications and microservices running on Amazon ECS, Amazon EKS, Kubernetes platforms on Amazon EC2, and AWS Fargate (for both Amazon ECS and Amazon EKS).",https://aws.amazon.com/cloudwatch/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Understand capability / terminology,Architecture,High,5,6,FAQ,,"architecture, networking, ai",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0798,AWS,aws.amazon.com,https://aws.amazon.com/bedrock/faqs/,https://aws.amazon.com/bedrock/faqs/,Can I train a model and deploy it on Amazon Bedrock?,"Yes, you can train select publicly available models and import them into the Amazon Bedrock using the Custom Model Import feature. Currently, this feature only supports Llama 2/3, Mistral, and Flan architectures. For additional information, please refer the documentation .","Yes, you can train select publicly available models and import them into the Amazon Bedrock using the Custom Model Import feature. Currently, this feature only supports Llama 2/3, Mistral, and Flan architectures. For additional information, please refer the documentation .",https://aws.amazon.com/bedrock/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,FAQ,GenAI / AI,AWS,Solution Architecture,AI-enabled business capability,Request presales guidance,Architecture,High,11,1,FAQ,,"architecture, ai",,,High,5,Yes,Public Documentation,"The question asks for a documented fact, service capability, availability, or definition that can be answered using official public documentation.",0,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0053,AWS,aws.amazon.com,https://aws.amazon.com/vpc/faqs/,https://aws.amazon.com/vpc/faqs/,What are the benefits of a default VPC?,"When you launch resources in a default VPC, you can benefit from the advanced networking functionalities of Amazon VPC (EC2-VPC) with the ease of use of Amazon EC2 (EC2-Classic). You can enjoy features such as changing security group membership on the fly, security group egress filtering, multiple IP addresses, and multiple network interfaces without having to explicitly create a VPC and launch instances in the VPC.","When you launch resources in a default VPC, you can benefit from the advanced networking functionalities of Amazon VPC (EC2-VPC) with the ease of use of Amazon EC2 (EC2-Classic).",https://aws.amazon.com/vpc/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Understand capability / terminology,Architecture,High,8,3,FAQ,,"architecture, security, governance, networking",,,High,5,Yes,Public Documentation,"The question asks for a documented fact, service capability, availability, or definition that can be answered using official public documentation.",0,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0577,AWS,aws.amazon.com,https://aws.amazon.com/ecs/faqs/,https://aws.amazon.com/ecs/faqs/,How does Amazon ECS support service-to-service communication?,"Service Connect: Amazon ECS Service Connect simplifies service discovery, connectivity, and traffic observability for Amazon ECS. It helps you build applications faster by letting you focus on the application code and not on your networking infrastructure. You can use Amazon ECS Service Connect to define logical names for your service endpoints and use them in your client applications to connect to dependencies. Amazon ECS Service Connect helps send your traffic to healthy endpoints and provides rich traffic telemetry in the Amazon ECS console and in Amazon CloudWatch. Native Amazon ECS deployments are more robust with Amazon ECS Service Connect, as it supports automatic connection draining that helps your client applications switch to a new version of the service endpoint without encountering traffic errors. With Amazon ECS Service Connect, you can: Set the way client applications connect to their dependencies in just one step Write and operate resilient distributed applications with logical naming Monitor and distribute traffic between Amazon ECS tasks without deploying and configuring load balancers Deploy services faster and deliver seamless integration of Amazon ECS microservices comprising an application Service Discovery: Amazon ECS is integrated with AWS Cloud Map to make it easy for your containerized services to discover and connect with each other. AWS Cloud Map is a cloud resource discovery service that lets you define custom names for your application resources. It increases your application availability because your web service will always discover the most up-to-date locations of these dynamically changing resources.","Service Connect: Amazon ECS Service Connect simplifies service discovery, connectivity, and traffic observability for Amazon ECS. It helps you build applications faster by letting you focus on the application code and not on your networking infrastructure.",https://aws.amazon.com/ecs/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,FAQ,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Determine implementation approach,Architecture,Medium,7,3,FAQ,,"architecture, networking, ai",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Governance Framework | Risk Register | SME
EPK-0014,AWS,aws.amazon.com,https://aws.amazon.com/directconnect/faqs/,https://aws.amazon.com/directconnect/faqs/,Why is an AWS Direct Connect gateway necessary?,"An AWS Direct Connect gateway performs several functions: AWS Direct Connect gateway will give you the ability to interface with VPCs in any AWS Region (except the AWS China Region), so you can use your AWS Direct Connect connections to interface with more than one AWS Region. You can share a private virtual interface to interface with up to 20 VPCs to reduce the number of Border Gateway Protocol sessions between your on-premises network and AWS deployments. By attaching transit virtual interface(s) (VIF) to an AWS Direct Connect gateway and associating AWS Transit Gateway(s) with the Direct Connect gateway, you can share transit virtual interface(s) to connect with more than one AWS Transit Gateways (for information on AWS Direct Connect quotas, refer to the table on this page ). This can reduce the number of Border Gateway Protocol sessions between your on-premises network and AWS deployments. Once a transit VIF is connected to an AWS Direct Connect Gateway, that Gateway cannot also host another Private VIF - it is dedicated to the transit VIF. You can associate multiple virtual private gateways (VGWs, associated with a VPC) to an AWS Direct Connect gateway, as long as the IP CIDR blocks of the Amazon VPC associated with the Virtual Private Gateway do not overlap.","An AWS Direct Connect gateway performs several functions: AWS Direct Connect gateway will give you the ability to interface with VPCs in any AWS Region (except the AWS China Region), so you can use your AWS Direct Connect connections to interface with more than one AWS Region.",https://aws.amazon.com/directconnect/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,FAQ,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Assess business rationale,Architecture,High,8,5,FAQ,,"architecture, networking",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation
EPK-0216,AWS,aws.amazon.com,https://aws.amazon.com/vpc/faqs/,https://aws.amazon.com/vpc/faqs/,How do I get started with Amazon VPC?,"Your AWS resources are automatically provisioned in a ready-to-use default VPC. You can choose to create additional VPCs by going to the Amazon VPC page in the AWS Management Console and selecting ""Start VPC Wizard"". You’ll be presented with four basic options for network architectures. After selecting an option, you can modify the size and IP address range of the VPC and its subnets. If you select an option with Hardware VPN Access, you will need to specify the IP address of the VPN hardware on your network. You can modify the VPC to add or remove secondary IP ranges and gateways, or add more subnets to IP ranges. The four options are: Amazon VPC with a single public subnet only Amazon VPC with public and private subnets Amazon VPC with public and private subnets and AWS Site-to-Site VPN access Amazon VPC with a private subnet only and AWS Site-to-Site VPN access","Your AWS resources are automatically provisioned in a ready-to-use default VPC. You can choose to create additional VPCs by going to the Amazon VPC page in the AWS Management Console and selecting ""Start VPC Wizard"". You’ll be presented with four basic options for network architectures.",https://aws.amazon.com/vpc/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,FAQ,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Determine implementation approach,Architecture,Medium,8,3,FAQ,,"architecture, networking",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0389,AWS,aws.amazon.com,https://aws.amazon.com/transit-gateway/faqs/,https://aws.amazon.com/transit-gateway/faqs/,Can I use the Route Analyzer on my existing Transit Gateways?,"Yes, you can if your Transit Gateway is registered to your Global Network. If you have multiple Transit Gateways on the path to destination, then all of them need to be registered to the Global Network.","Yes, you can if your Transit Gateway is registered to your Global Network. If you have multiple Transit Gateways on the path to destination, then all of them need to be registered to the Global Network.",https://aws.amazon.com/transit-gateway/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,FAQ,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Request presales guidance,Architecture,Low,11,1,FAQ,,"architecture, networking",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Governance Framework | Risk Register | SME
EPK-0403,AWS,aws.amazon.com,https://aws.amazon.com/vpc/faqs/,https://aws.amazon.com/vpc/faqs/,Can I connect VPCs belonging to different accounts using Private Link (VPC Endpoints) and be guaranteed that all traffic is encrypted when using VPC Encryption Controls?,No. Private Link with VPC Encryption Controls is only supported for AWS Services. VPC Endpoints to non-AWS Services cannot stay in VPCs where you want to enforce encryption. You would have to delete those endpoints before proceeding to Enforce mode on the VPC. VPCs running in enforce mode can be connected VPC Peering or Transit Gateway to guarantee end-to-end encryption.,No. Private Link with VPC Encryption Controls is only supported for AWS Services. VPC Endpoints to non-AWS Services cannot stay in VPCs where you want to enforce encryption. You would have to delete those endpoints before proceeding to Enforce mode on the VPC.,https://aws.amazon.com/vpc/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,FAQ,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Request presales guidance,Architecture,High,26,3,FAQ,,"architecture, security, governance",,,High,5,Yes,Public Documentation,"The question asks for a documented fact, service capability, availability, or definition that can be answered using official public documentation.",0,Public Documentation | Commercial Model | Pricing Template | SME
EPK-0107,AWS,aws.amazon.com,https://aws.amazon.com/backup/faqs/,https://aws.amazon.com/backup/faqs/,Does AWS Backup support compression for VMware backups?,"Yes, AWS Backup compresses VMware backups in transit to AWS, helping you optimally use your network connection to AWS.","Yes, AWS Backup compresses VMware backups in transit to AWS, helping you optimally use your network connection to AWS.",https://aws.amazon.com/backup/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Request presales guidance,Architecture,Medium,8,2,FAQ,,"architecture, networking, backup",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0279,AWS,aws.amazon.com,https://aws.amazon.com/shield/faqs/,https://aws.amazon.com/shield/faqs/,How do I perform a network security analysis?,"When you open the network security director console for the first time, choose Start Network Analysis. You will then be asked to give permission to scan your account. Once accepted, analysis of your network resources will begin. When complete, you will receive a notification in the network security director console.","When you open the network security director console for the first time, choose Start Network Analysis. You will then be asked to give permission to scan your account. Once accepted, analysis of your network resources will begin. When complete, you will receive a notification in the network security director console.",https://aws.amazon.com/shield/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Determine implementation approach,Architecture,High,8,0,FAQ,,"architecture, security, governance",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
