support,itemsets,itemset_size,frequency
0.16666666666666666,"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,150
0.12666666666666668,"frozenset({'Presales Category=Solution Architecture', 'Business Capability=Risk, compliance and identity control', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,114
0.11888888888888889,"frozenset({'Business Capability=Risk, compliance and identity control', 'Presales Category=Security & Compliance', 'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME', 'Question Complexity=High'})",4,107
0.11777777777777777,"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Business Capability=Risk, compliance and identity control', 'Question Complexity=High'})",4,106
0.11555555555555555,"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Business Capability=Hybrid connectivity and network foundation'})",4,104
0.11,"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Presales Category=Solution Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'})",4,99
0.10444444444444445,"frozenset({'Question Type=Architecture', 'Business Capability=Risk, compliance and identity control', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,94
0.1,"frozenset({'Question Type=Governance / Security', 'Presales Category=Security & Compliance', 'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME', 'Question Complexity=High'})",4,90
0.09888888888888889,"frozenset({'Question Type=Governance / Security', 'Business Capability=Risk, compliance and identity control', 'Presales Category=Security & Compliance', 'Question Complexity=High'})",4,89
0.09555555555555556,"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Business Capability=Risk, compliance and identity control'})",4,86
0.09222222222222222,"frozenset({'Question Intent=Request presales guidance', 'Presales Category=Solution Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,83
0.09,"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Presales Category=Solution Architecture', 'Question Complexity=High'})",4,81
0.08666666666666667,"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Question Complexity=Medium', 'Business Capability=Hybrid connectivity and network foundation'})",4,78
0.08222222222222222,"frozenset({'Question Intent=Request presales guidance', 'Business Capability=Risk, compliance and identity control', 'Presales Category=Security & Compliance', 'Question Complexity=High'})",4,74
0.08222222222222222,"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,74
0.0811111111111111,"frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Type=Architecture', 'Question Complexity=Medium', 'Business Capability=Hybrid connectivity and network foundation'})",4,73
0.08,"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Presales Category=Solution Architecture', 'Business Capability=Hybrid connectivity and network foundation'})",4,72
0.08,"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Question Intent=Determine implementation approach', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'})",4,72
0.07777777777777778,"frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Presales Category=Solution Architecture', 'Question Complexity=Medium', 'Business Capability=Hybrid connectivity and network foundation'})",4,70
0.07777777777777778,"frozenset({'Question Type=Governance / Security', 'Presales Category=Security & Compliance', 'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME', 'Business Capability=Risk, compliance and identity control'})",4,70
0.07777777777777778,"frozenset({'Question Type=Governance / Security', 'Business Capability=Risk, compliance and identity control', 'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME', 'Question Complexity=High'})",4,70
0.07111111111111111,"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Business Capability=Hybrid connectivity and network foundation'})",4,64
0.07,"frozenset({'Question Intent=Request presales guidance', 'Business Capability=Risk, compliance and identity control', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,63
0.06777777777777778,"frozenset({'Question Type=Commercial / Pricing', 'Business Capability=Risk, compliance and identity control', 'Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME', 'Question Complexity=High'})",4,61
0.06777777777777778,"frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Type=Architecture', 'Presales Category=Solution Architecture', 'Question Complexity=Medium'})",4,61
0.06555555555555556,"frozenset({'Question Intent=Request presales guidance', 'Presales Category=Solution Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Business Capability=Hybrid connectivity and network foundation'})",4,59
0.06444444444444444,"frozenset({'Question Intent=Request presales guidance', 'Business Capability=Risk, compliance and identity control', 'Presales Category=Solution Architecture', 'Question Complexity=High'})",4,58
0.06444444444444444,"frozenset({'Question Intent=Request presales guidance', 'Presales Category=Security & Compliance', 'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME', 'Question Complexity=High'})",4,58
0.06222222222222222,"frozenset({'Question Type=Architecture', 'Question Intent=Determine implementation approach', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,56
0.06,"frozenset({'Presales Category=Solution Architecture', 'Question Intent=Determine implementation approach', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,54
0.057777777777777775,"frozenset({'Question Intent=Request presales guidance', 'Question Type=Governance / Security', 'Presales Category=Security & Compliance', 'Question Complexity=High'})",4,52
0.057777777777777775,"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Question Intent=Determine implementation approach', 'Question Complexity=High'})",4,52
0.056666666666666664,"frozenset({'Business Capability=Risk, compliance and identity control', 'Question Intent=Determine implementation approach', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",4,51
0.05555555555555555,"frozenset({'Question Intent=Request presales guidance', 'Business Capability=Risk, compliance and identity control', 'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME', 'Question Complexity=High'})",4,50
0.05555555555555555,"frozenset({'Presales Category=Security & Compliance', 'Business Capability=Risk, compliance and identity control', 'Question Intent=Determine implementation approach', 'Question Complexity=High'})",4,50
