Variable,VIF
Technology Domain_Migration / Modernization,inf
Technology Domain_Resilience / DR,inf
Technology Domain_Networking,inf
Technology Domain_Operations / Monitoring,inf
Technology Domain_Cost Optimization,inf
Technology Domain_DevOps / Platform Engineering,inf
Technology Domain_Cloud Architecture,inf
"Business Capability_Risk, compliance and identity control",inf
Business Capability_IT operations and observability,inf
Business Capability_Hybrid connectivity and network foundation,inf
Business Capability_Financial governance / FinOps,inf
Business Capability_Digital platform delivery,inf
Business Capability_Cloud migration and modernization,inf
Business Capability_Cloud foundation and workload architecture,inf
Business Capability_Business continuity and resilience,inf
Technology Domain_Security / Governance,inf
Question Intent_Request presales guidance,8.304040552863398
Question Intent_Determine implementation approach,6.7477836706573
Question Intent_Understand capability / terminology,5.86380074915455
