Variable,VIF
Technology Domain_Migration / Modernization,inf
Technology Domain_Resilience / DR,inf
Technology Domain_Networking,inf
Technology Domain_Operations / Monitoring,inf
Technology Domain_Cost Optimization,inf
Technology Domain_DevOps / Platform Engineering,inf
Technology Domain_Cloud Architecture,inf
"Business Capability_Risk, compliance and identity control",inf
Business Capability_IT operations and observability,inf
Business Capability_Hybrid connectivity and network foundation,inf
Business Capability_Financial governance / FinOps,inf
Business Capability_Digital platform delivery,inf
Business Capability_Cloud migration and modernization,inf
Business Capability_Cloud foundation and workload architecture,inf
Business Capability_Business continuity and resilience,inf
Technology Domain_Security / Governance,inf
Question Intent_Request presales guidance,8.304040552863398
Question Intent_Determine implementation approach,6.7477836706573
Question Intent_Understand capability / terminology,5.86380074915455
Technology Domain_GenAI / AI,4.847842212067158
Business Capability_Enterprise data and analytics,4.285572467028052
Question Complexity_Medium,2.9892819627242844
Question Intent_Estimate commercial impact,2.3212272682240016
Question Intent_Evaluate options / fit,2.292878947501128
Question Intent_Determine timing / applicability,1.8633991369067995
Question Complexity_Low,1.8518509551376328
Question Type_Commercial / Pricing,1.8267401667580951
Question Type_Migration,1.5894265173335393
Question Type_Best Practice,1.4763991839369122
Question Type_Governance / Security,1.4419011128968946
Question Type_Implementation,1.4051175286056905
Question Type_Informational,1.355805315882128
